Event,Group,Date (AD Year),SCA Year,Location,Address,City,Zip Code,Autocrat,Toilets,Potable Water,Showers,Camping Availability (Sq Ft),Feast Hall,Equestrian,Archery Allowed,War Field,12th Night,Site Contact,Parking Issues,Site Costs,Attendance,Site Issues,Other Information
Vakkerfjell feast & Masquerade Ball,Shire of Vakkerfjell,11/17/2001,36,Legacy Vets MC Clubhouse,1498 N. Beale Rd.,Linda,95901,Tanaka Sasaki,,,,,,,,,,,,,,,
War!,Barony of the Westermark,11/17/2001,36,Penitencia Creek Park,3050 Berryessa Road,San Jose,95132,Eliana Frazer,,,,,,,,,,,,,,,
Harvest Feast,Barony of Tarnmist,11/17/2001,36,,,,,,,,,,,,,,,,,,,,
Anniversary Feast,Province of Golden Rivers,11/24/2001,36,Cordova Community Center ,2197 Chase Dr,Rancho Cordova,95670,Antonio Giordano da Sicilia,,,,,,,,,,,,,,,
Yule,Barony of Winter's Gate,12/1/2001,36,Fairbanks Community Food Bank,725 26th Ave,Fairbanks,99701,Rutger van Dieveren,,,,,,,,,,,,,,,
Yule,Barony of Fettburg,12/1/2001,36,Manteca Senior Center,295 Cherry Ln.,Manteca,95337,Raven of Drakken Heim,,,,,,,,,,,,,,,
Jingles,Province of Southern Shores,12/1/2001,36,Santa Teresa Swim and Raquet Club,286 Sorrento Way,San Jose,95119,Cilean Stirling,,,,,,,,,,,,,,,
Yule Revel,Barony of Rivenoak,12/8/2001,36,Chico's Women's Club,592 East 3rd Street,Chico,95928,Arabella Matthew,,,,,,,,,,,,,,,
Boar Hunt,Province of the Mists,12/8/2001,36,Camp Herms Boy Scout Camp,1100 James Pl,El Cerrito,94530,,,,,,,,,,,,,,,,
Yule,Barony of Allyshia,12/8/2001,36,Humboldt Senior Resource Center,1910 California Street,Eureka,95501,Boann the Quiet,,,,,,,,,,,,,,,
Yule,Shire of Earngyld,12/8/2001,36,American Legion Hall,,Juneau,,Denise Henley,,,,,,,,,,,,,,,
Christmas in Camelot,Province of Silver Desert,12/8/2001,36,Paradise Park Community Center,,Reno,,,,,,,,,,,,,,,,,
Eskalyan Yule,Barony of Eskalya,12/15/2001,36,Viking Hall,8141 Briarwood Street,Anchorage,99518,,,,,,,,,,,,,,,,
Masked Ball,Barony of Darkwood,12/22/2001,36,Machado School,15130 Sycamore Drive,Morgan Hill,95037,Caterina di Guglielmo,,,,,,,,,,,,,,,
Twelfth Night Coronation,Kingdom of the West,1/5/2002,36,Santa Rosa Veterans Memorial Building,1351 Maple Avenue,Santa Rosa,95404,Ian the Fariner,,,,,,,,,,,,,,,
Coronet/Investiture,Principality of Oertha,1/18/2002,36,Meier Lake Conference Center,6059 N Wasilla Fishhook Rd,Wasilla,99654,William Kearney,,,,,,,,,,,,,,Permanently Closed Per Google Search 1/27/15 - Francisco de Salamanca,
Archery Tourney/Hawk's Feast,Canton of Hawk's Haven,1/19/2002,36,Machado School,15130 Sycamore Drive,Morgan Hill,95037,Garrett Todhunter,,,,,,,,,,,,,,,
Investiture,Principality of Cynagua,1/26/2002,36,Odd Fellows Hall,1831 Howe Avenue,Sacramento,95825,Antonio Giordano da Sicilia,,,,,,,,,,,,,,,
Crosston Ball,Shire of Crosston,1/26/2002,36,Saint Mark's Episcopal Church,1957 Pruneridge Ave,Santa Clara,95050,Katherine de Langelei,,,,,,,,,,,,,,,
Baroness' Birthday/1001 Arabian Nights,Barony of Eskalya,2/2/2002,36,Laborer's Hall,2501 Commercial Drive,Anchorage,99501,Angustias McKeown,,,,,,,,,,,,,,,
Kingdom War College,Kingdom of the West,2/2/2002,36,Penitencia Creek Park,3050 Berryessa Road,San Jose,95132,Fabian Arnett von Schwetzingen,,,,,,,,,,,,,,,
Stealthy Scotsman's Feast,Shire of Fendrake Marsh,2/9/2002,36,Churchill County Fairgrounds,99 Sheckler Rd.,Fallon,89406,Katherine,,,,,,,,,,,,,,,
Bridget's Feast,Shire of Esfenn,2/9/2002,36,,,,,,,,,,,,,,,,,,,,
Prize Tourney,Canton of Montagne du Roi,2/9/2002,36,,,,,Raumas,,,,,,,,,,,,,,,
Heart Revel,Barony of Eskalya,2/16/2002,36,,,Fairbanks,,Magda Ochastka,,,,,,,,,,,,,,,
Championship Tournament,Province of Golden Rivers,2/23/2002,36,Rusch Park,7301 Antelope Rd.,Citrus Heights,95621,Catarine Douglas,,,,,,,,,,,,,,,
White Shield,Barony of Darkwood,3/2/2002,36,San Benito County Fairgrounds,9000 Airline Hwy,Tres Pinos,95075,Quentyn Siobhanb O'Riordain,,,,,,,,,,,,,,,
Iberian Feast,College of Saint Katherine's,3/3/2002,36,UC-Berkeley Alumni House,University Drive,Berkeley,94720,Alys Rose de la Havre,,,,,,,,,,,,,,,
Bardic Tea,Shire of Danegeld Tor,3/3/2002,36,Arden-Dimick Library,891 Watt Avenue,Sacramento,95864,Juliana di Rossi,,,,,,,,,,,,,,,
Heralds Collegium,Kingdom of the West,3/9/2002,36,Carmichael Presyterian church,5645 Marconi Ave,Carmichael,95608,Gwenhwyfaer ferch Gwilym,,,,,,,,,,,,,,,
Court of Love,Canton of Borderwinds,3/9/2002,36,Ramona Garden Park,993 Ramona Ave.,Grover Beach,93433,Jena Whitehart,,,,,,,,,,,,,,,
7 Deadly Sins Tourney and Feast,Barony of Fettburg,3/9/2002,36,,,,,,,,,,,,,,,,,,,,
Newcomer's Tourney,Province of Southern Shores,3/16/2002,36,John D. Morgan Park,349 Budd Ave,Campbell,95008,Eirik Goransson,,,,,,,,,,,,,,,
Collegium,Barony of Allyshia,3/16/2002,36,,,,,,,,,,,,,,,,,,,,
Vernal Equinox,Barony of Selviergard,3/16/2002,36,,,,,,,,,,,,,,,,,,,,
March Crown,Kingdom of the West,3/22/2002,36,Yolo County Fairgrounds,1125 East St.,Woodland,95776,Theiadora Groves,,,,,,,,,,,,,,,
April Fools Tournament,Barony of Rivenoak,3/30/2002,36,Bidwell Park,Old Chico Canyon Road,Chico,95928,Francis Bull of Kent,,,,,,,,,,,,,,,
Coronet Tournament,Principality of the Mists,4/5/2002,36,Fort Ord Travel Camp,,Fort Ord,93955,Christophe d'Avignon,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Sheep Raid,College of Saint Brendan's,4/6/2002,36,Rowdy Creek Campground,1000 Rowdy Creek Rd,Smith River,95567,Rachel Taggert,,,,,,,,,,,,,,,
Cherry Blossom Festival,Barony of Eskalya,4/13/2002,36,Laborer's Hall,2501 Commercial Drive,Anchorage,99501,Elspeth Bouchannane,,,,,,,,,,,,,,,
Mists/Cynagua War,Principality of the Mists,4/13/2002,36,Rancho Seco Park,14440 Twin Cities Road,Herald,95638,Gwenhwyfaer ferch Gwilym,,,,,,,,,,,,,,,
Baron's Championship Tourney,Barony of Vinhold,4/20/2002,36,Kennedy Park,2295 Streblow Drive,Napa,94558,Eibhlin nic 'Raghailligh,,,,,,,,,,,,,,,
Feast of Fools,Barony of the Westermark,4/20/2002,36,Carden El Encanto School,615 Hobart Terrace,Santa Clara,95051,Juliana of Emerald Waters,,,,,,,,,,,,,,,
A&S Coronet Tourney,Palantine Barony of the Far West,4/27/2002,36,,,Okinawa,,Bernard,,,,,,,,,,,,,,,
Collegium Occidentalis,Kingdom of the West,4/27/2002,36,,,Vallejo,,Torvaldr Torgarson,,,,,,,,,,,,,,,
Beltane Coronation,Kingdom of the West,5/3/2002,37,Marie Hill Ranch,43700 Highway 128,Cloverdale,95425,Eric von Steinhaus,,,,,,,,,,,,,,,
Winter's End Feast,Canton of Ynys Taltraeth,5/4/2002,37,Cudd Hall,,Kotzebue,,Samantha Autry,,,,,,,,,,,,,,,
May Revel,Barony of Eskalya,5/10/2002,37,Centennial Park,8300 Glenn Highway,Anchorage,99645,Teresa Rosin,,,,,,,,,,,,,,,
Investiture,Principality of the Mists,5/10/2002,37,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,Euriol of Lothian,,,,X,,,,,,,,,,,
Newcomer's Tourney,Province of Silver Desert,5/11/2002,37,Ardmore Park,1200 12th Street,Sparks,89431,Edward ate Flint,,,,,,,,,,,,,,,
Champion's Tourney,Shire of Mont d'Or,5/11/2002,37,,,,,,,,,,,,,,,,,,,,
Freeman Games,Barony of Selviergard,5/17/2002,37,Snider Park,,Wasilla,99654,Fergus McThomas,,,,,,,,,,,,,,,
Archery Tournament,Barony of Tarnmist,5/18/2002,37,,Bramble,Arroyo Grande,93420,Achmere ib'Tamim,,,,,,,,,,,,,,,
Mariner's Festival,Shire of Danegeld Tor,5/18/2002,37,Live Oak River Front Park,1100 Pennington Road,Live Oak,95993,Dhonn MacScathach,,,,,,,,,,,,,,,
Poacher's Feast,Canton of Caer Darth,5/18/2002,37,Mt. Madonna County Park,7850 Pole Line Road,Mt. Madonna,95076,Eriny Thorvaldsdottir,,,,,,,,,,,,,,,
Games Tourney,Shire of Caldarium,5/18/2002,37,Miwok Meadows - China Camp State Park,101 Peacock Gap Trail,San Rafael,94901,Chadai Jahan Jai,,,,,,,,,,,,,,,
Games Day,Shire of Wuduholt be Secg,5/24/2002,37,Florence Keller Park,3400 Cunningham Ln,Crescent City,95531,Signy Jollinardottir,,,,,,,,,,,,,,,
Coronet Tournament,Principality of Cynagua,5/24/2002,37,Live Oak River Front Park,1100 Pennington Road,Live Oak,95993,John Paul Blacklore,,,,,,,,,,,,,,,
Spring Captaincy,Barony of Winter's Gate,5/25/2002,37,Moose Creek Pavilion at Pioneer Park,2300 Airport Way,Fairbanks,99701,Taran de Montfort,,,,,,,,,,,,,,,
Championship Tourney,Shire of Vakkerfjell,6/1/2002,37,Veterans Memorial Park,715 5th Street,Marysville,95901,Sasaki no Tanaka,,,,,,,,,,,,,,,
Invasion War,Shire of Wolfscairn,6/1/2002,37,Finley Park,1800 W College Ave,Santa Rosa,95401,Richard of Greyefalle,,,,,,,,,,,,,,,
Warlord Tourney,Province of Southern Shores,6/2/2002,37,John D. Morgan Park,349 Budd Ave,Campbell,95008,Gianetta del Bene,,,,,,,,,,,,,,,
Cynaguan Scriptorium Plus,Principality of Cynagua,6/2/2002,37,Cordova Community Center,2197 Chase Dr,Rancho Cordova,95670,Siranna of Hawthorn Hall,,,,,,,,,,,,,,,
Mists Games,Principality of the Mists,6/8/2002,37,Hann's Park,395 Amador St.,Vallejo,94591,Torvaldr Torgarson,,,,,,,,,,,,,,,
Championship Tourney,Shire of Bestwode,6/15/2002,37,Anderson River Park,2800 Rupert Road,Anderson,96007,Anton Polander,,,,,,,,,,,,,,,
Collegium,Province of Golden Rivers,6/15/2002,37,Carmichael Park,5750 Grant Ave,Carmichael,95608,Danae FitzRoberts,,,,no,yes,no,no,no,no,,,,,,
Clan War,Canton of Montagne du Roi,6/15/2002,37,Ford Ord Travel Camp,,Fort Ord,93955,Richard of Ardgou,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Newcomer's Event,Barony of Eskalya,6/15/2002,37,,,,,,,,,,,,,,,,,,,,
June Crown,Kingdom of the West,6/21/2002,37,Pitchfork Cattle Company Ranch,,Reno,,Teresa,,,,,,,,,,,,,,,
Collegium Weekend w/Cariadoc,Barony of Winter's Gate,6/29/2002,37,North Star Council On Aging,1424 Moore St.,Fairbanks,99701,Morgana yr Oerfa,,,,,,,,,,,,,,,
Fourth of July Demo,Shire of Earngyld,7/4/2002,37,Savikko Park,,Juneau,,Sarah Ban Feasa,,,,,,,,,,,,,,,
West/ An-Tir War,Kingdom of the West,7/5/2002,37,Greenhorn Park,Greenhorn Road,Yreka,96097,Byran of Edgewood Castle,,,,,,,,,,,,,,,
Archery Tourney,Barony of Darkwood,7/13/2002,37,Fort Ord Travel Camp,,Fort Ord,93955,Garrett Logan Todhimter,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Investiture,Principality of Cynagua,7/13/2002,37,Live Oak River Front Park,1100 Pennington Road,Live Oak,95993,Capt. Stephen Lacey,,,,,,,,,,,,,,,
War From the Heart,Shire of Crosston,7/14/2002,37,Penitencia Creek Park,3050 Berryessa Road,San Jose,95132,Geoffrey Scott,,,,,,,,,,,,,,,
Madness,Barony of the Westermark,7/19/2002,37,Coyote Lake County Park,Roop Rd.,Gilroy,95020,George of Berwick,,,,,,,,,,,,,,,
Coronet/Investiture,Principality of Oertha,7/19/2002,37,Little Susitna River Campground,Mi. 57.5 Parks Hwy,Houston,99694,Alicianne of Sprucewood,,,,,,,,,,,,,,,
Arts and Sciences,Kingdom of the West,7/26/2002,37,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,Susan of Wight,,,,X,,,,,,,,,,,
Protectorate Tourney,Canton of Borderwinds,8/3/2002,37,Waller County Park,300 Goodwin Rd.,Santa Maria,93454,Giovanna Brexianno,,,,,,,,,,,,,,,
Summer Hunt,Barony of Selviergard,8/3/2002,37,,,,,,,,,,,,,,,,,,,,
Championship Tourney,Barony of Fettburg,8/10/2002,37,,,Lodi,,Raven of Rachen Heim,,,,,,,,,,,,,,,
Viking Event,Barony of Eskalya,8/10/2002,37,,,,,,,,,,,,,,,,,,,,
Black and White Tourney,Shire of Champclair,8/11/2002,37,,,Vacaville,,Roy Nicholson,,,,,,,,,,,,,,,
Deep Woods Hunt,Barony of Allyshia,8/17/2002,37,,,,,,,,,,,,,,,,,,,,
Purgatorio Coronation,Kingdom of the West,8/23/2002,37,Grant Ranch Park,18405 Mount Hamilton Road,San Jose,95140,Branwen Cryccthegn Deorcwuda,,,,,,,,,,,,,,,
Ducal Prize,KHTI,8/30/2002,37,Yolo County Fairground,1125 East St.,Woodland,95776,Katherine ni Cheallaigh of Skye,,,,,,,,,,,,,,,
Harvest Captaincy,Barony of Winter's Gate,8/31/2002,37,Alaskaland,,Fairbanks,,Gwyneth Rhiannon of the Sea,,,,,,,,,,,,,,,
Championship Tourney,Province of Silver Desert,9/6/2002,37,,,Reno,,Beatrix zum Dunklenturm,,,,,,,,,,,,,,,
Warlord Ascension,Shire of Wuduholt be Secg,9/6/2002,37,Rowdy Creek Campground,1000 Rowdy Creek Rd,Smith River,95567,Thorkil Stormchaser,,,,,,,,,,,,,,,
Mists Bardic Competition,Principality of the Mists,9/7/2002,37,Camp Herms Boy Scout Camp,1100 James Pl,El Cerrito,94530,Conchobhar O'Dormghaille,,,,,,,,,,,,,,,
Pas d'Armes,Province of Golden Rivers,9/8/2002,37,,,Carmichael,95608,Alvar Pacheco de Cadiz,,,,,,,,,,,,,,,
Lights Workshop and War,Shire of Crosston,9/8/2002,37,Sunnyvale Baylands Park,999 E. Caribbean,Sunnyvale,94089,Cassandra of Crosston,,,,,,,,,,,,,,,
Mists/Cynagua War,Principality of the Mists,9/13/2002,37,Grant Ranch Park,18405 Mount Hamilton Road,San Jose,95140,Branwen Cryccthegn Deorcwuda,,,,,,,,,,,,,,,
Collegium,Barony of Eskalya,9/14/2002,37,,,,,,,,,,,,,,,,,,,,
Coronet Tournament,Principality of the Mists,9/20/2002,37,Fort Ord Travel Camp,,Fort Ord,93955,Eliska z Jihlava,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Darkwood Arts and Sciences,Barony of Darkwood,9/28/2002,37,Fort Ord Travel Camp,,Fort Ord,93955,Anastasia Ivanova,,,,,,,,,,,,,,Endangered Species found living in camping area.  Can not use right now. Check back.,
Anniversary Feast,Shire of Teufelberg,9/28/2002,37,Hidden Valley Park,Center Ave.,Martinez,94553,Iosef Braun,,,,,,,,,,,,,,,
Pas d'Armes,Barony of Allyshia,9/28/2002,37,Azalea Hall,1620 Pickett Road,McKinleyville,95519,Morgan MacPhearson,,,,,,,,,,,,,,,
Buzzard's Inn,Barony of Selviergard,9/28/2002,37,,,,,,,,,,,,,,,,,,,,
October Crown Tournament,Kingdom of the West,10/4/2002,37,River Front Park,,Marysville,,Kateryn de Ver,,,,,,,,,,,,,,,
Coronet Tournament,Palantine Barony of the Far West,10/4/2002,37,,,,,,,,,,,,,,,,,,,,
St. Crispin's Day,Barony of Eskalya,10/12/2002,37,Pena Sports Park,Boundary Ave & Frontage Rd.,Anchorage,99504,Elspeth Bouchannane,,,,,,,,,,,,,,,
Michaelmas,Barony of Winter's Gate,10/12/2002,37,Salvation Army Worship Center,1602 10th Ave.,Fairbanks,99701,Margery,,,,,,,,,,,,,,,
First Sword,Shire of Esfenn,10/12/2002,37,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,Isabelle de Sancerre,,,,X,,,,,,,,,,,
Debardchery,Shire of Cloondara,10/12/2002,37,Golden Gate Park - Archery Field,998 47th Ave,San Francisco,94121,Gwenyth of Mousehold Heath,,,,,,,,,,,,,,,
Collegium Occidentalis,Kingdom of the West,10/19/2002,37,Mills Middle School,10439 Colma Rd.,Rancho Cordova,95670,Torvaldr Torgarson,,,,,,,,,,,,,,,
Harvest Feast,Province of Southern Shores,10/20/2002,37,,,,,Felicia Margerye Amondesham,,,,,,,,,,,,,,,
Coronet Tournament,Principality of Cynagua,10/25/2002,37,Rancho Seco Park,14440 Twin Cities Road,Herald,95638,Gwenhwyfaer ferch Gwilym,,,,,,,,,,,,,,,
Masqued Ball,Barony of Allyshia,10/26/2002,37,First Presbyterian Church of Arcata,670 11th Street,Arcata,95521,Jessica Paine,,,,,,,,,,,,,,,
Cynaguan Guard Pas,Province of Golden Rivers,11/2/2002,37,Carmichael Park,5750 Grant Ave,Carmichael,95608,Antonio Giordano da Sicilia,,,,no,yes,no,no,no,no,,,,,,
Viking Feast,Shire of Wuduholt be Secg,11/2/2002,37,Del Norte County Fairgrounds,421 Highway 101,Crescent City,95531,Erik Firediver,,,,,,,,,,,,,,,
Turkey Tourney,Canton of Hawk's Haven,11/2/2002,37,Live Oak High School,1505 East Main Avenue,Morgan Hill,95037,Adriana Tacita,,,,,,,,,,,,,,,
Mad Slug Tourney,College of Saint David's,11/2/2002,37,UC- Santa Cruz,1156 High Street,Santa Cruz,95064,Darja z Prahy,,,,,,,,,,,,,,,
All Hallow's Feast,Barony of Vinhold,11/3/2002,37,Springbrook Masonic Temple,101 Temple Way,Vallejo,94591,Kira Leonovna Zhemnadushina,,,,,,,,,,,,,,,
Harvest Feast,Barony of Allyshia,11/9/2002,37,Humboldt Senior Resource Center,1910 California Street,Eureka,95501,Kyla Larsdottir,,,,,,,,,,,,,,,
Harvest Feast,Barony of Tarnmist,11/9/2002,37,Ramona Garden Park,993 Ramona Ave,Grover Beach,93433,Ellen of the Western Wind,,,,,,,,,,,,,,,
Anniversary Feast,Shire of Danegeld Tor,11/9/2002,37,Arden-Dimick Library,891 Watt Avenue,Sacramento ,95864,SuKaynah,,,,,,,,,,,,,,,
Harvest Feast/Collegium,Shire of Fendrake Marsh,11/16/2002,37,Churchill County Fairgrounds,99 Sheckler Rd.,Fallon,89406,Katherine Hawke,,,,,,,,,,,,,,,
Investiture,Principality of the Mists,11/16/2002,37,Sonoma Veterans Memorial Building,126 First Street West,Sonoma,95476,Rogan Swordbrother,,,,,,,,,,,,,,,
Championship,Barony of Rivenoak,11/23/2002,37,Durham Community Park,9447 Midway,Durham,95938,Eowyn d'Agincourt,,,,,,,,,,,,,,,
WAR,Barony of the Westermark,11/23/2002,37,,,Half Moon Bay,,Chiara Genevieve d'Anjou,,,,,,,,,,,,,,,
Herald's Collegium,Kingdom of the West,11/23/2002,37,Mechanics Bank Operations Center,725 Alfred Nobel Drive,Hercules,94547,Letitia de Scotia,,,,,,,,,,,,,,,
Anniversary Feast,Province of Golden Rivers,11/30/2002,37,Cordova Community Center,2197 Chase Dr.,Rancho Cordova,95670,Megan Wintiford,,,,,,,,,,,,,,,
Yule,Barony of Fettburg,12/7/2002,37,Manteca Senior Center,295 Cherry Ln.,Manteca,95337,Khadijah,,,,,,,,,,,,,,,
Jingles,Province of Southern Shores,12/7/2002,37,Morgan Hill Grange Hall,,Morgan Hill,,Aaron of Buckminster,,,,,,,,,,,,,,,
Yule,Province of Silver Desert,12/7/2002,37,Sparks Senior Citizen Center,97 Richards Way,Sparks,89431,Khaalid al-Jaraad,,,,,,,,,,,,,,,
Peasant's Yule,Barony of Selviergard,12/7/2002,37,,,,,,,,,,,,,,,,,,,,
Yule,Barony of Eskalya,12/7/2002,37,,,,,,,,,,,,,,,,,,,,
Yule Feast,Barony of Rivenoak,12/14/2002,37,Durham Memorial Hall,9319 Midway,Durham,95938,Sakina,,,,,,,,,,,,,,,
Boar Hunt,Province of the Mists,12/14/2002,37,Camp Herms Boy Scout Camp,1100 James Pl,El Cerrito,94530,Eilis O'Boirne,,,,,,,,,,,,,,,
Yule,Barony of Winter's Gate,12/14/2002,37,University Community Presbyterian Church,3510 College Road,Fairbanks,99709,Magda Ochastka,,,,,,,,,,,,,,,
Yule,Shire of Earngyld,12/14/2002,37,Juneau Scottish Rite Temple,,Juneau,,Lluella de Molay,,,,,,,,,,,,,,,
Baroness' Masked Ball,Barony of Darkwood,12/14/2002,37,Machado School,15130 Sycamore Drive,Morgan Hill,95037,Caitlin O'Byrne,,,,,,,,,,,,,,,
Yule Feast,Barony of Allyshia,12/21/2002,37,Humboldt Senior Resource Center,1910 California Street,Eureka,95501,Kyla Silvertongue,,,,,,,,,,,,,,,
Twelfth Night,Kingdom of the West,1/4/2003,37,The Red Lion Inn,,Stockton,,,,,,,,,,,,,,,,,
Feast and Archery Tourney,Canton of Hawk's Haven,1/11/2003,37,Machado School,15130 Sycamore Drive,Morgan Hill,95037,Hraefn Fram Lindune,,,,,,,,,,,,,,,
Coronet/Investiture,Principality of Oertha,1/17/2003,37,Eagle River Lion's Club,Eagle River Rd & E Eagle River Loop Rp,Eagle River,99577,Richenza,,,,,,,,,,,,,140,,
Winter Feast,College of Saint David's,1/17/2003,37,UC- Santa Cruz,1156 High Street,Santa Cruz,95064,Aelf of Kingscrossing,,,,,,,,,,,,,,,
Crosston Ball,Shire of Crosston,1/18/2003,37,St. Mark's Episcopal Church,600 Colorado Avenue,Palo Alto,94306,Katherine de Langelei,,,,,,,,,,,,,,,
Scriptorium,Principality of the Mists,1/19/2003,37,Camp Herms Boy Scout Camp,1100 James Pl,El Cerrito,94530,Rose de LaMans,,,,,,,,,,,,,,,
Investiture,Principality of Cynagua,1/25/2003,37,Nevada County Fairgrounds,11228 McCourtney Road,Grass Valley,95949,Clare ingen Neill,,,,,,,,,,,,,238,,
War Collegium,Kingdom of the West,2/1/2003,37,Penitencia Creek Park,3050 Berryessa Road,San Jose,95132,Brian of Glastonbury,,,,,,,,,,,,,,,
Champion's Tourney,Province of Golden Rivers,2/8/2003,37,Carmichael Park,5750 Grant Ave,Carmichael,95608,Antonio Giordano da Sicilia,,,,no,yes,no,no,no,no,,,,,,
Lupricallia,Barony of Allyshia,2/8/2003,37,Freshwater Grange,Grange Rd,Eureka,95503,Rachel Taggert,,,,,,,,,,,,,,,
Winter Collegium,Kingdom of the West,2/22/2003,37,Monte Vista High School,21840 McClellan Rd.,Cupertino,95014,Emma Fitzwilliam,,,,,,,,,,,,,,,
White Shield,Barony of Darkwood,3/1/2003,37,Monterey County Sherrif's Posse Grounds,395 Old Natividad Road ,Salinas,93901,Raumas,,,,,,,,,,,,,,,
Herald's Collegium,Kingdom of the West,3/8/2003,37,Sylvan Oaks Library,6700 Auburn Blvd.,Citrus Heights,95621,Anastacia Grindstead,,,,,,,,,,,,,,,
A&S Collegium,Barony of Allyshia,3/8/2003,37,Blue Ox Mill Works and Historic Park,1 X Street,Eureka,95501,David Peacekingsson,,,,,,,,,,,,,,,
Court of Love Tourney/Feast,Canton of Borderwinds,3/8/2003,37,Ramona Garden Park  ,993 Ramona Ave,Grover Beach,93433,Jena Whitehart,,,,,,,,,,,,,,,
Baroness' Un-Birthday,Barony of Eskalya,3/15/2003,37,Laborer's Hall,2501 Commercial Drive,Anchorage,99501,Elspeth Bouchannane,,,,,,,,,,,,,,,
Celtic Rebellion and Grill,Shire of Bestwode,3/15/2003,37,Anderson River Park,2800 Rupert Road,Anderson,96007,Tighearn Art MacOrm,,,,,,,,,,,,,,,
Prize Tourney,Canton of Montagne du Roi,3/15/2003,37,Whispering Pines Park,Pacific St.,Monterey,,Christophe d'Avignon,,,,,,,,,,,,,,,
March Crown,Kingdom of the West,3/21/2003,37,San Benito County Fairgrounds,9000 Airline Hwy,Tres Pinos,95075,Theiadora Groves,,,,,,,,,,,,,780,,
Vernal Equinox,Barony of Selveirgard,3/21/2003,37,,,,,,,,,,,,,,,,,,,,
Fool's Crusade,Shire of Ravenshore,3/28/2003,37,Willits Library,390 East Commercial Street,Willits,95490,Fredrick of Woodlyn,,,,,,,,,,,,,,,
Ostara Festival/Championship,Shire of Danegeld Tor,3/28/2003,37,,,,,,,,,,,,,,,,,,,,
Coronet,Principality of the Mists,4/4/2003,37,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,303,,
Coronet,Palantine Barony of the Far West,4/4/2003,37,,,,,,,,,,,,,,,,,,,,
Sheep's Raid,College of Saint Brendan's,4/4/2003,37,,,,,,,,,,,,,,,,,,,,
Mists/Cynagua War,Principality of the Mists,4/11/2003,37,Coyote Creek Park,985 Hellyer Ave.,San Jose,95111,,,,,,,,,,,,,,120,,
Spring Feast,College of Saint Katherine's,4/13/2003,37,"Senior Hall, UC Berkeley",University Drive,Berkeley,94720,Vittoria Aureli,,,,,,,,,,,,,51,,
Celebration of the Arts,Shire of Caldarium,4/19/2003,37,Miwok Meadows - China Camp State Park,101 Peacock Gap Trail,San Rafael,94901,Beatrice Merryfield,,,,,,,,,,,,,,,
Newcomer's Tournament,Province of Southern Shores,4/19/2003,37,,,,,,,,,,,,,,,,,,,,
Fool's Revel,Barony of Rivenoak,4/26/2003,37,Bidwell Park,Old Chico Canyon Road,Chico,95928,Francis Bull of Kent,,,,,,,,,,,,,,,
Spring Collegium,Barony of Winter's Gate,4/26/2003,37,University Community Presbyterian Church,3510 College Road,Fairbanks,99709,Morgana yr Oerfa,,,,,,,,,,,,,25,,
Spring Romp,Shire of Wolfscairn,4/27/2003,37,Finley Park,1800 W College Ave,Santa Rosa,95401,Duncan Vitrarius,,,,,,,,,,,,,,,
Beltane,Kingdom of the West,5/2/2003,38,Marie Hill Ranch,43700 Highway 128,Cloverdale,95425,Eric von Steinhaus,,,,,,,,,,,,,553,,
Baronial Coronet Tournament,Palantine Barony of the Far West,5/10/2003,38,Dewey Park,,"Camp Zama AFB, Zama City",,Cadogan map Cado,,,,,,,,,,,,,,,
Games Day,Shire of Wuduholt be Secg,5/10/2003,38,Florence Keller Park,3400 Cunningham Ln,Crescent City,95531,Janet MacDonald,,,,,,,,,,,,,,,
Investiture,Principality of the Mists,5/10/2003,38,Saint Mark's Episcopal Church,1957 Pruneridge Ave,Santa Clara,95050,,,,,,,,,,,,,,180,,
Newcomer's Tourney,Province of Silver Desert,5/10/2003,38,Ardmore Park,1200 12th Street,Sparks,89431,Aldwin Wolfling,,,,,,,,,,,,,,,
Celtic Feast,Barony of Allyshia,5/10/2003,38,,,,,,,,,,,,,,,,,,,,
Archery Tournament,Barony of Tarnmist,5/17/2003,38,,,Arroyo Grande,93420,Achmere ib'Tamim,,,,,,,,,,,,,,,
Championship Tourney,Shire of Mont d'Or,5/17/2003,38,Recreation Park,123 Recreation Drive,Auburn,95603,Eleanor d'Aubrecicourt,,,,,,,,,,,,,,,
Poacher's Feast,Canton of Caer Darth,5/17/2003,38,Mt. Madonna County Park,7850 Pole Line Road,Mt. Madonna,95076,Henry ap Eynhallow,,,,,,,,,,,,,,,
St. Sebastian's Day Hunt,Barony of the Westermark,5/18/2003,38,King's Mountain Archery Range,"1100 Kings Mountain Road,",Woodside,94062,Custodia de Montemor,,,,,,,,,,,,,,,
